"","or","Distance.47.618418+-122.350964","Distance.47.615829+-122.348564","Distance.47.616094+-122.341102","Distance.47.61311+-122.344208","Distance.47.610731+-122.332447","Distance.47.609221+-122.335596","Distance.47.604058+-122.3358","Distance.47.60595+-122.335768","Distance.47.603509+-122.330409","Distance.47.610185+-122.339641","Distance.47.602103+-122.316923","Distance.47.618633+-122.325249","Distance.47.622063+-122.321251","Distance.47.623367+-122.325279","Distance.47.620712+-122.312805","Distance.47.618549+-122.317017","Distance.47.61533+-122.311752","Distance.47.615486+-122.318245","Distance.47.615517+-122.322083","Distance.47.615456+-122.326729","Distance.47.624142+-122.316811","Distance.47.624298+-122.339617","Distance.47.663509+-122.284119","Distance.47.627643+-122.332576","Distance.47.634831+-122.326634","Distance.47.64909+-122.322983","Distance.47.607281+-122.324783","Distance.47.609239+-122.316651","Distance.47.598488+-122.326412","Distance.47.600757+-122.332946","Distance.47.598994+-122.329684","Distance.47.619859+-122.330304","Distance.47.627735+-122.342232","Distance.47.623165+-122.338203","Distance.47.61832+-122.338913","Distance.47.613628+-122.337341","Distance.47.613715+-122.331777","Distance.47.626041+-122.335831","Distance.47.618285+-122.342205","Distance.47.622277+-122.35523","Distance.47.61626+-122.333815","Distance.47.624769+-122.339408","Distance.47.666145+-122.301491","Distance.47.658288+-122.313334","Distance.47.656395+-122.31562","Distance.47.663143+-122.315086","Distance.47.660268+-122.304826","Distance.47.659756+-122.310402","Distance.47.65559+-122.31189","Distance.47.654613+-122.304863","Distance.47.653713+-122.302162","Distance.47.650725+-122.311188","Distance.47.614315+-122.354093","Distance.47.607702+-122.34165","Distance.47.61863956+-122.3207769","Distance.47.62087853+-122.3473769","Distance.47.64995155+-122.3062634","Distance.47.61137028+-122.3487015"
"1","47.618418+-122.350964",0,422,1067,867,2066,1869,2168,1895,2594,1342,3631,3216,3947,3749,4375,3831,3849,3393,3103,2747,4454,1505,12144,2289,3297,4944,2986,4148,3097,2626,2794,2190,1689,1501,939,1420,2303,2204,723,910,1532,1709,10611,8543,7994,9215,9998,8990,8381,9136,9536,8465,773,1799,3548,613,8902,1108
"2","47.615829+-122.348564",422,0,838,445,1644,1447,1746,1473,2171,920,3208,2793,3524,3327,3953,3409,3427,2971,2680,2325,4032,1859,12499,2643,3651,5299,2564,3726,2674,2203,2371,2088,1658,1470,908,1190,1880,2558,769,1239,1808,1792,10966,8897,8349,9570,10353,9344,8735,9491,9891,8820,829,1378,3126,748,9256,687
"3","47.616094+-122.341102",1013,1023,0,648,1333,1262,1949,1676,2375,1123,3642,1928,2659,2461,3087,2543,2561,2105,1815,1459,3166,1067,11706,1851,2859,4506,2156,2860,2877,2407,2574,1276,1391,1064,504,999,1015,1766,452,1555,996,1287,10173,8105,7556,8777,9560,8552,7943,8698,9098,8028,1480,2030,2260,845,8464,1339
"4","47.61311+-122.344208",864,895,912,0,1199,1002,1301,1028,1726,475,2763,2348,3079,2882,3508,2964,2982,2526,2235,1880,3587,1455,12094,2238,3265,4912,2119,3281,2229,1758,1926,1643,1824,1451,891,908,1435,2153,768,1753,1363,1674,10561,8492,7944,9165,9948,8940,8330,9086,9486,8415,1343,1348,2681,1665,8851,1201
"5","47.610731+-122.332447",1922,1931,967,1557,0,292,1082,809,1311,755,2156,1387,2119,1921,2547,2003,2021,1565,1274,919,2626,1989,12628,2207,3109,4957,1158,2320,2010,1539,1707,1560,2358,1986,1426,575,474,2688,1303,2522,882,2209,11095,9027,8478,6728,10482,9474,8865,9620,10020,8949,2279,1673,1720,1812,9386,2369
"6","47.609221+-122.335596",1649,1658,1086,1284,555,0,790,517,1019,482,2252,1704,2435,2238,2864,2320,2338,1882,1591,1236,2943,2107,12747,2891,3379,5274,1475,2637,1718,1247,1415,1758,2477,2104,1544,693,791,2806,1421,2525,1197,2327,11214,9145,8597,9818,10601,9592,8983,9739,10139,9068,2006,1381,2037,1780,9504,2077
"7","47.604058+-122.3358",2420,1959,1857,2056,1327,1129,0,276,621,831,1717,2476,3655,3009,3635,3091,3109,2654,2363,2008,3714,2879,13518,3663,4195,6046,1383,2526,1183,565,880,2588,3248,2876,2315,1465,1563,3578,2193,2816,1968,3099,11985,9917,9368,10589,11372,10364,9755,10510,10910,9839,2058,740,3257,2552,10276,1437
"8","47.60595+-122.335768",2143,1681,1580,1778,1049,852,273,0,698,553,1735,2198,2930,2732,3358,2814,2832,2376,2085,1730,3437,2601,13241,3385,3917,5768,1078,1740,1201,731,898,2311,2971,2598,2038,1187,1285,3300,1915,2538,1691,2821,11708,9639,9091,10312,11095,10087,9477,10233,10633,9562,2182,864,2531,2274,9998,1560
"9","47.603509+-122.330409",2390,2398,1826,2025,1296,765,555,638,0,1223,1334,2445,2599,2978,3027,2483,2501,2045,2332,1977,3111,2848,13487,3632,4120,6015,949,1611,962,497,652,2498,3217,2845,2285,1434,1532,3547,2162,3265,1937,3068,11954,9886,9337,10558,11341,10333,9724,10479,10879,9809,2618,1301,2200,2521,10245,1997
"10","47.610185+-122.339641",1818,1126,1255,1453,724,527,826,553,1252,0,2289,1874,2605,2407,3033,2489,2507,2051,1761,1405,3112,2277,12916,3060,3593,5443,1644,2806,1755,1284,1452,1986,2646,2273,1713,862,961,2976,1591,1983,1366,2497,11383,9315,8766,9987,10770,9762,9153,9908,10308,9237,1554,865,2206,1949,9674,1558
"11","47.602103+-122.316923",4523,4532,3568,4158,2094,2178,1638,1727,1710,3356,0,2513,2546,3036,2373,1829,1847,1585,1889,2235,2452,4256,10296,4227,5079,5700,1169,804,1111,1662,1555,3091,4959,4253,3693,3176,2628,4955,3694,5123,3187,4210,8763,7310,6912,7602,7923,8262,7174,7273,7569,7690,3642,2327,2138,4413,6901,3020
"12","47.618633+-122.325249",2808,2817,1853,2443,1384,1689,2468,2195,2682,1642,2677,0,659,533,1194,1117,1432,1063,581,521,1170,2542,9320,1780,2688,3800,2020,1895,3720,3483,3617,644,3244,1498,1978,1461,913,1690,1979,3408,763,1763,7787,5279,4881,5571,6248,5868,5143,6142,6438,5659,3165,2836,541,2699,5770,3024
"13","47.622063+-122.321251",3539,3548,2585,3175,2115,2420,3199,2926,2539,2373,2546,606,0,456,792,717,1472,952,845,1252,577,2393,8558,2439,2544,3656,1877,1763,3662,3340,3474,1303,3013,2157,2709,2192,1644,2350,2710,4139,1422,2422,7025,4899,4502,5191,5869,5489,4764,5535,5831,5279,3896,3567,398,3430,5163,3755
"14","47.623367+-122.325279",3292,3301,2337,2927,1867,2173,2951,2678,2995,2125,3036,533,456,0,1284,1207,1964,1444,1225,915,762,2452,8787,2493,2155,3267,2333,2254,4153,3796,3930,1171,3032,2216,2142,1944,1397,2404,2143,3892,1290,2476,7254,4745,4348,5038,5715,5335,4610,5397,6179,5125,3649,3320,854,3182,5544,3507
"15","47.620712+-122.312805",3968,3976,3013,3603,2543,2849,3627,3354,2967,2801,2373,1194,782,1284,0,552,680,1030,1334,1680,700,3701,7925,3028,3333,3820,2305,1591,3489,4041,3934,1891,4404,2746,3138,2620,2072,2938,3139,4567,2631,3011,6392,5429,5032,5721,5552,5891,5294,4902,5198,5312,4325,3996,934,3858,4530,4183
"16","47.618549+-122.317017",3424,3432,2469,3059,1999,2305,3083,2810,2423,2257,1829,850,717,1207,595,0,748,437,790,1136,623,3157,9139,3128,3257,3871,1761,1047,2945,3497,3390,1992,3860,3154,2594,2076,1529,3856,2595,4024,2087,3111,7606,5481,5083,5773,6450,6070,5345,6116,6412,5861,3781,3452,330,3314,5744,3639
"17","47.61533+-122.311752",3442,3450,2487,3077,2017,2323,3101,2828,2441,2275,1847,1432,1462,1964,680,748,0,504,808,1154,1380,3175,8605,3146,4013,4500,1779,1065,2963,3515,3408,2010,3878,3172,2612,2094,1546,3874,2613,4042,2105,3129,7072,6109,5712,6401,6232,6571,5974,5582,5878,5992,3799,3470,1055,3332,5210,3657
"18","47.615486+-122.318245",2986,2995,2031,2621,1561,1867,2645,2372,1986,1819,1585,976,952,1444,1030,535,504,0,352,698,1064,2719,9376,2690,3471,4108,1323,803,2702,2786,3146,1554,3422,2716,2156,1639,1091,3418,2157,3586,1650,2673,7843,5718,5320,6010,6687,6307,5582,6353,6649,6098,3343,3014,599,2876,5981,3201
"19","47.615517+-122.322083",2695,2704,1740,2330,1271,1576,2355,2082,1894,1529,1889,581,845,1301,1334,790,808,352,0,408,1356,2429,9351,2399,3388,4500,1232,1107,2933,2695,2829,1263,3131,2425,1865,1348,800,3127,1866,3295,1359,2382,7818,5693,5295,5985,6662,6282,5557,6328,6624,6073,3052,2723,447,2586,5956,2911
"20","47.615456+-122.326729",2340,2349,1385,1975,915,1221,1999,1726,2425,1173,2235,466,1252,978,1680,1136,1154,698,408,0,1759,2073,9776,2044,3144,4256,1578,1453,3279,2457,2625,908,2776,2070,1510,992,445,2772,1511,2940,1003,2027,8243,5735,5337,6027,6704,6324,5599,6386,7031,6115,2697,2368,853,2230,6533,2555
"21","47.624142+-122.316811",4047,4055,3092,3682,2622,2928,3706,3433,3051,2880,2452,1170,577,762,700,623,1380,1060,1413,1759,0,2957,8524,3004,2640,3256,2388,1670,3568,4120,4013,1867,4483,2722,3217,2699,2152,2914,3218,4647,1987,2987,6991,4866,4469,5158,5835,5455,4730,5502,5797,5246,4404,4075,910,3937,5129,4262
"22","47.624298+-122.339617",1820,1829,1325,1455,1896,2068,2756,2483,3181,1930,4172,2457,3188,2452,3616,3072,3090,2635,2344,1988,3695,0,10639,784,1792,3439,2685,3389,3684,3214,3381,1186,580,237,716,1529,1544,699,888,1616,1525,220,9106,7038,6489,7710,8493,7485,6876,7631,8031,6960,2287,2837,2790,1471,7397,2146
"23","47.663509+-122.284119",12169,12728,10941,11072,10979,10952,12372,12100,11071,11546,10993,9190,8583,8747,8234,9164,8721,9402,9377,9783,8550,9617,0,8833,7874,5767,10408,10211,12110,11871,12006,9776,10472,9656,10333,10612,10176,9182,10504,12024,10214,9568,1624,4673,4554,3933,3076,4887,4323,3899,2297,4329,13822,14849,8930,11711,3699,14158
"24","47.627643+-122.332576",2293,2853,2108,2239,2680,2852,3539,3267,3965,2713,4955,3241,2683,2244,4400,3856,3874,3418,3128,2772,2778,784,10974,0,1018,2666,3469,4173,4468,3997,4165,1233,1113,863,1500,2312,2327,340,1671,2149,1434,741,9441,7373,6824,8045,8828,7820,7211,7966,8366,7295,3947,3620,3573,1835,7732,2929
"25","47.634831+-122.326634",3295,3855,3110,3241,3156,3461,4541,4269,4967,3715,5430,2688,2594,2155,3549,3601,4230,3838,3603,3248,2926,1786,7620,1002,0,1944,3945,4647,5470,4999,5167,1952,2115,1825,2502,2788,2803,1351,2673,3151,2390,1738,6087,3579,3181,3871,4548,4168,3443,4230,5012,3959,4949,4622,2941,2837,4378,3931
"26","47.64909+-122.322983",5323,5883,5138,5268,5176,5481,6569,6296,6441,5743,6364,4561,3954,3273,4484,4535,5164,4772,4747,4262,3920,3813,5520,3029,2071,0,5779,5582,7480,7027,7194,3972,4143,3852,4529,4808,4489,3379,4701,5179,4410,3765,3987,1479,1081,1771,2448,2068,1343,2130,2912,1859,6976,6650,4301,4865,2277,5959
"27","47.607281+-122.324783",2843,2852,1882,2479,1104,1188,1159,1262,783,1677,1193,1662,1877,2333,2305,1761,1779,1323,1201,1093,2388,2574,10383,2930,4420,5532,0,889,2144,1686,1820,1898,3141,2571,2011,1490,1197,3273,2011,3719,1603,2913,8850,6725,6327,7017,7694,7314,6589,7360,7656,7105,3200,2620,1478,2727,6988,3313
