"","or","status.47.618418+-122.350964","status.47.615829+-122.348564","status.47.616094+-122.341102","status.47.61311+-122.344208","status.47.610731+-122.332447","status.47.609221+-122.335596","status.47.604058+-122.3358","status.47.60595+-122.335768","status.47.603509+-122.330409","status.47.610185+-122.339641","status.47.602103+-122.316923","status.47.618633+-122.325249","status.47.622063+-122.321251","status.47.623367+-122.325279","status.47.620712+-122.312805","status.47.618549+-122.317017","status.47.61533+-122.311752","status.47.615486+-122.318245","status.47.615517+-122.322083","status.47.615456+-122.326729","status.47.624142+-122.316811","status.47.624298+-122.339617","status.47.663509+-122.284119","status.47.627643+-122.332576","status.47.634831+-122.326634","status.47.64909+-122.322983","status.47.607281+-122.324783","status.47.609239+-122.316651","status.47.598488+-122.326412","status.47.600757+-122.332946","status.47.598994+-122.329684","status.47.619859+-122.330304","status.47.627735+-122.342232","status.47.623165+-122.338203","status.47.61832+-122.338913","status.47.613628+-122.337341","status.47.613715+-122.331777","status.47.626041+-122.335831","status.47.618285+-122.342205","status.47.622277+-122.35523","status.47.61626+-122.333815","status.47.624769+-122.339408","status.47.666145+-122.301491","status.47.658288+-122.313334","status.47.656395+-122.31562","status.47.663143+-122.315086","status.47.660268+-122.304826","status.47.659756+-122.310402","status.47.65559+-122.31189","status.47.654613+-122.304863","status.47.653713+-122.302162","status.47.650725+-122.311188","status.47.614315+-122.354093","status.47.607702+-122.34165","status.47.61863956+-122.3207769","status.47.62087853+-122.3473769","status.47.64995155+-122.3062634","status.47.61137028+-122.3487015"
"1","47.618418+-122.350964","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"2","47.615829+-122.348564","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"3","47.616094+-122.341102","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"4","47.61311+-122.344208","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"5","47.610731+-122.332447","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6","47.609221+-122.335596","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"7","47.604058+-122.3358","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"8","47.60595+-122.335768","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"9","47.603509+-122.330409","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"10","47.610185+-122.339641","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
