"","or","Time.47.618418+-122.350964","Time.47.615829+-122.348564","Time.47.616094+-122.341102","Time.47.61311+-122.344208","Time.47.610731+-122.332447","Time.47.609221+-122.335596","Time.47.604058+-122.3358","Time.47.60595+-122.335768","Time.47.603509+-122.330409","Time.47.610185+-122.339641","Time.47.602103+-122.316923","Time.47.618633+-122.325249","Time.47.622063+-122.321251","Time.47.623367+-122.325279","Time.47.620712+-122.312805","Time.47.618549+-122.317017","Time.47.61533+-122.311752","Time.47.615486+-122.318245","Time.47.615517+-122.322083","Time.47.615456+-122.326729","Time.47.624142+-122.316811","Time.47.624298+-122.339617","Time.47.663509+-122.284119","Time.47.627643+-122.332576","Time.47.634831+-122.326634","Time.47.64909+-122.322983","Time.47.607281+-122.324783","Time.47.609239+-122.316651","Time.47.598488+-122.326412","Time.47.600757+-122.332946","Time.47.598994+-122.329684","Time.47.619859+-122.330304","Time.47.627735+-122.342232","Time.47.623165+-122.338203","Time.47.61832+-122.338913","Time.47.613628+-122.337341","Time.47.613715+-122.331777","Time.47.626041+-122.335831","Time.47.618285+-122.342205","Time.47.622277+-122.35523","Time.47.61626+-122.333815","Time.47.624769+-122.339408","Time.47.666145+-122.301491","Time.47.658288+-122.313334","Time.47.656395+-122.31562","Time.47.663143+-122.315086","Time.47.660268+-122.304826","Time.47.659756+-122.310402","Time.47.65559+-122.31189","Time.47.654613+-122.304863","Time.47.653713+-122.302162","Time.47.650725+-122.311188","Time.47.614315+-122.354093","Time.47.607702+-122.34165","Time.47.61863956+-122.3207769","Time.47.62087853+-122.3473769","Time.47.64995155+-122.3062634","Time.47.61137028+-122.3487015"
"1","47.618418+-122.350964",0,109,395,261,641,567,621,508,860,397,1312,1095,1383,1264,1535,1329,1439,1208,1105,933,1490,393,2657,592,901,1229,1065,1377,1009,794,849,655,490,414,297,533,745,564,262,284,536,488,2237,1973,1814,2216,2273,2227,1924,2070,2102,1877,249,500,1246,216,1983,328
"2","47.615829+-122.348564",198,0,330,152,532,459,512,399,751,288,1203,986,1274,1155,1426,1221,1330,1099,997,824,1382,479,2743,677,986,1314,956,1268,901,685,740,694,518,443,326,434,636,649,261,360,613,505,2322,2058,1899,2302,2359,2312,2009,2155,2187,1962,291,435,1137,244,2068,262
"3","47.616094+-122.341102",408,344,0,274,454,429,634,521,873,410,1189,798,1086,968,1238,1033,1142,911,809,636,1194,268,2532,466,775,1103,950,1080,1022,807,861,418,351,293,148,323,448,438,76,461,337,381,2111,1848,1688,2091,2148,2101,1798,1944,1976,1751,527,671,949,251,1857,499
"4","47.61311+-122.344208",301,230,296,0,380,306,360,247,599,136,1051,834,1122,1003,1274,1068,1178,947,845,672,1229,397,2661,596,921,1249,804,1116,748,533,588,542,543,422,278,354,484,568,248,465,461,510,2241,1977,1818,2220,2277,2231,1927,2074,2106,1881,393,308,985,434,1987,365
"5","47.610731+-122.332447",596,557,274,462,0,106,333,220,531,277,791,531,819,700,971,765,875,643,541,369,926,481,2745,627,782,1200,501,813,722,506,561,515,626,506,362,184,180,652,332,735,305,594,2325,2061,1902,1844,2361,2315,2011,2158,2190,1965,669,465,682,525,2071,614
"6","47.609221+-122.335596",494,455,324,361,188,0,228,115,425,174,919,642,931,812,1083,877,987,755,653,481,1038,531,2795,730,976,1312,613,924,616,401,455,596,676,556,412,234,292,702,382,710,394,644,2375,2111,1952,2354,2411,2365,2061,2208,2239,2015,566,360,793,482,2120,509
"7","47.604058+-122.3358",847,650,678,713,543,470,0,182,348,465,775,997,1383,1166,1437,1232,1341,1110,1008,835,1393,886,3150,1084,1226,1667,835,1014,481,205,320,930,1031,910,766,588,647,1056,736,885,749,999,2729,2465,2306,2709,2766,2719,2416,2562,2594,2369,523,198,1246,835,2475,347
"8","47.60595+-122.335768",662,465,493,528,358,284,113,0,352,279,804,812,1100,981,1252,1046,1156,925,822,650,1207,700,2964,899,1040,1482,608,887,501,286,340,745,846,725,581,403,462,871,551,700,563,813,2544,2280,2121,2523,2580,2534,2231,2377,2409,2184,569,245,963,649,2290,394
"9","47.603509+-122.330409",796,757,625,662,490,334,245,288,0,476,684,944,1091,1113,1253,1048,1157,926,955,782,1216,833,3097,1031,1277,1614,551,824,356,191,260,898,978,857,713,535,594,1003,683,1012,696,946,2676,2412,2253,2656,2713,2666,2363,2509,2541,2316,742,417,954,784,2422,566
"10","47.610185+-122.339641",548,307,379,414,244,171,225,112,463,0,915,698,986,868,1138,933,1042,811,709,536,1094,587,2851,786,927,1368,668,980,613,397,452,631,732,612,467,289,348,757,437,542,450,700,2430,2167,2007,2410,2467,2420,2117,2263,2295,2070,449,206,849,536,2176,347
"11","47.602103+-122.316923",1251,1212,929,1117,744,756,590,699,525,933,0,698,711,784,729,539,633,477,570,619,699,1116,2419,1085,1324,1363,496,237,227,405,362,863,1282,1140,996,839,717,1286,994,1390,902,1096,1998,1887,1755,2043,1986,2125,1840,1809,1812,1886,1064,747,608,1181,1698,889
"12","47.618633+-122.325249",778,739,456,644,390,470,684,571,881,459,641,0,270,169,485,385,596,325,198,146,395,642,2087,466,706,824,597,532,913,954,1025,244,808,374,523,366,243,451,521,917,308,477,1666,1311,1179,1467,1540,1600,1265,1581,1585,1310,851,697,237,707,1470,823
"13","47.622063+-122.321251",914,875,592,780,526,607,821,708,789,596,530,141,0,68,303,204,444,202,209,282,182,527,1982,524,601,719,505,421,757,862,933,302,706,433,659,502,380,509,657,1054,367,535,1561,1252,1119,1407,1480,1540,1205,1372,1376,1250,988,834,146,844,1261,959
"14","47.623367+-122.325279",916,877,595,782,528,609,823,710,955,598,702,152,166,0,476,376,617,375,373,247,316,656,1917,654,536,654,671,593,929,1028,1099,295,864,562,536,505,382,639,534,1056,360,665,1497,1142,1010,1298,1370,1431,1095,1265,1362,1141,990,836,312,846,1243,961
