"","or","Time.47.618418+-122.350964","Time.47.615829+-122.348564","Time.47.616094+-122.341102","Time.47.61311+-122.344208","Time.47.610731+-122.332447","Time.47.609221+-122.335596","Time.47.604058+-122.3358","Time.47.60595+-122.335768","Time.47.603509+-122.330409","Time.47.610185+-122.339641","Time.47.602103+-122.316923","Time.47.618633+-122.325249","Time.47.622063+-122.321251","Time.47.623367+-122.325279","Time.47.620712+-122.312805","Time.47.618549+-122.317017","Time.47.61533+-122.311752","Time.47.615486+-122.318245","Time.47.615517+-122.322083","Time.47.615456+-122.326729","Time.47.624142+-122.316811","Time.47.624298+-122.339617","Time.47.663509+-122.284119","Time.47.627643+-122.332576","Time.47.634831+-122.326634","Time.47.64909+-122.322983","Time.47.607281+-122.324783","Time.47.609239+-122.316651","Time.47.598488+-122.326412","Time.47.600757+-122.332946","Time.47.598994+-122.329684","Time.47.619859+-122.330304","Time.47.627735+-122.342232","Time.47.623165+-122.338203","Time.47.61832+-122.338913","Time.47.613628+-122.337341","Time.47.613715+-122.331777","Time.47.626041+-122.335831","Time.47.618285+-122.342205","Time.47.622277+-122.35523","Time.47.61626+-122.333815","Time.47.624769+-122.339408","Time.47.666145+-122.301491","Time.47.658288+-122.313334","Time.47.656395+-122.31562","Time.47.663143+-122.315086","Time.47.660268+-122.304826","Time.47.659756+-122.310402","Time.47.65559+-122.31189","Time.47.654613+-122.304863","Time.47.653713+-122.302162","Time.47.650725+-122.311188","Time.47.614315+-122.354093","Time.47.607702+-122.34165","Time.47.61863956+-122.3207769","Time.47.62087853+-122.3473769","Time.47.64995155+-122.3062634","Time.47.61137028+-122.3487015"
"1","47.618418+-122.350964",0,311,707,685,1510,1284,1618,1425,1861,1048,2876,1720,2216,2097,2657,2284,2783,2351,2121,1796,2680,947,6624,1476,2204,3478,2308,2777,2398,1975,2134,1380,1069,1136,730,998,1478,1239,573,579,1142,960,5922,4668,4369,4997,5255,5035,4583,5101,5396,4896,484,1331,2044,334,5057,833
"2","47.615829+-122.348564",334,0,647,374,1316,1089,1302,1111,1666,738,2650,1705,2201,2082,2643,2270,2706,2273,2043,1718,2665,1116,6847,1699,2427,3701,2161,2696,2100,1661,1820,1366,1288,1122,715,928,1290,1462,558,812,1127,1179,6146,4891,4593,5221,5478,5259,4806,5324,5619,5120,468,1048,2030,529,5281,557
"3","47.616094+-122.341102",726,641,0,399,795,817,1307,1104,1405,726,2311,1249,1745,1627,2187,1814,2178,1746,1516,1190,2210,716,6412,1264,1998,3267,1657,2174,1950,1654,1813,910,1026,655,263,303,763,1047,246,1221,613,783,5711,4457,4158,4786,5043,4824,4371,4889,5185,4685,1079,1066,1574,663,4846,863
"4","47.61311+-122.344208",653,319,348,0,943,715,937,737,1292,364,2276,1532,2028,1910,2470,2097,2340,1908,1678,1352,2492,1070,6734,1576,2321,3589,1787,2323,1726,1287,1446,1193,1372,967,575,566,924,1358,592,1115,902,1136,6033,4779,4480,5108,5365,5146,4693,5211,5507,5007,711,678,1857,848,5168,495
"5","47.610731+-122.332447",1458,1236,721,917,0,230,811,586,825,554,1576,1065,1561,1461,2013,1634,1695,1284,1053,726,2037,1241,6648,1583,2304,3501,901,1437,1302,1152,1257,989,1646,1100,726,424,368,1492,890,1941,580,1291,5947,4693,4394,5022,5279,5060,4607,5125,5202,4921,1482,711,1374,1383,4883,1205
"6","47.609221+-122.335596",1268,1043,775,724,262,0,581,356,598,363,1667,1329,1825,1724,2277,1898,1958,1547,1316,990,2300,1382,6899,1756,2476,3751,1087,1603,1224,922,1029,1211,1785,1262,869,472,635,1654,1041,1789,797,1435,6198,4943,4644,5273,5530,5311,4858,5376,5466,5172,1293,491,1638,1317,5147,985
"7","47.604058+-122.3358",1723,1385,1403,1071,979,717,0,287,537,748,1513,1969,2417,2365,2594,2217,2189,1905,1816,1632,2710,2009,7243,2383,3104,4401,1191,1727,962,409,672,1848,2412,1890,1496,1110,1336,2282,1664,2080,1435,2063,6764,5593,5294,5922,6179,5960,5507,5862,5711,5606,1438,562,2100,1917,5392,1057
"8","47.60595+-122.335768",1486,1152,1157,833,697,435,237,0,567,473,1538,1694,2138,2090,2466,2077,2061,1751,1527,1357,2573,1763,7115,2138,2858,4155,1076,1599,989,566,709,1602,2167,1644,1251,864,1065,2036,1419,1948,1189,1817,6636,5347,5048,5676,5934,5714,5261,5733,5583,5478,1395,519,1879,1681,5264,1013
"9","47.603509+-122.330409",1882,1660,1407,1341,894,634,466,558,0,977,1121,1865,2202,2260,2379,2003,1974,1690,1624,1528,2495,2013,7029,2388,3108,4381,760,1295,626,380,465,1840,2417,1894,1501,1102,1261,2286,1667,2405,1427,2067,6549,5573,5274,5902,6160,5940,5487,5647,5497,5391,1885,1019,1885,1933,5178,1504
"10","47.610185+-122.339641",1031,691,692,371,586,359,601,385,938,0,1924,1332,1829,1728,2280,1883,1998,1574,1344,1018,2304,1298,6837,1672,2393,3690,1430,1966,1374,945,1094,1137,1701,1179,786,399,595,1571,954,1486,724,1352,6136,4882,4583,5211,5468,5249,4796,5314,5575,5110,996,416,1641,1218,5271,764
"11","47.602103+-122.316923",2841,2596,2172,2276,1531,1604,1343,1444,1013,1917,0,1786,1989,2225,1872,1495,1466,1288,1442,1492,1991,2643,6521,2660,3313,4276,870,670,751,1081,946,2039,3046,2443,2135,1857,1595,2605,2291,3391,1797,2672,6042,5364,5065,5694,5665,5722,5279,5139,4989,4884,2693,1827,1689,2826,4670,2312
"12","47.618633+-122.325249",1611,1577,1109,1394,961,1190,1762,1521,1706,1190,1741,0,511,410,963,592,1177,703,497,304,986,1257,5726,1286,1836,2751,1228,1296,2171,2087,2171,461,1715,1069,866,844,643,1230,1048,2106,624,1298,5107,3852,3554,4182,4439,4220,3767,4285,4194,4082,2022,1575,348,1543,3875,1845
"13","47.622063+-122.321251",2013,1979,1511,1810,1376,1606,2091,1851,1999,1606,1801,428,0,324,668,562,1138,664,564,720,476,1658,5248,1554,1701,2398,1449,1258,2313,2364,2442,862,2117,1470,1268,1260,1059,1632,1449,2508,1026,1699,4768,3486,3187,3815,4073,3853,3401,3866,3716,3610,2423,1991,309,1945,3397,2260
"14","47.623367+-122.325279",1975,1940,1473,1775,1342,1572,2143,1903,2087,1571,2156,393,391,0,1059,953,1529,1055,872,685,672,1542,5395,1279,1426,2341,1609,1649,2553,2469,2553,824,1901,1432,1229,1225,1024,1446,1411,2469,988,1525,4696,3442,3143,3771,4028,3809,3356,3874,3863,3671,2385,1956,700,1906,3543,2226
"15","47.620712+-122.312805",2356,2322,1854,2148,1715,1945,2209,2110,2080,1944,1582,766,574,898,0,383,511,683,911,1058,523,2001,4804,2030,2068,2777,1531,1035,2336,2446,2531,1205,2459,1813,1610,1598,1397,1975,1792,2850,1369,2042,4325,3865,3566,4194,3948,4005,3628,3423,3272,3167,2766,2329,598,2287,2953,2599
"16","47.618549+-122.317017",2082,2048,1580,1851,1391,1621,1910,1793,1781,1632,1283,498,545,869,475,0,617,289,523,761,496,1728,5272,1757,2111,2829,1232,738,2037,2147,2232,932,2186,1540,1337,1301,1105,1701,1519,2577,1081,1769,4793,3917,3619,4247,4416,4285,3832,3890,3740,3635,2493,2011,242,2014,3421,2302
"17","47.61533+-122.311752",2465,2338,1816,2027,1391,1621,1832,1733,1704,1678,1205,1011,1055,1379,539,557,0,350,578,807,1031,2175,5110,2137,2601,3298,1154,658,1959,2069,2154,1392,2579,1943,1682,1520,1126,2081,1901,2960,1327,2148,4630,4220,4087,4715,4253,4310,3933,3728,3577,3472,2654,2012,769,2397,3258,2421
"18","47.615486+-122.318245",2150,2023,1501,1712,1096,1326,1652,1494,1523,1370,1133,656,701,1025,825,350,467,0,263,491,845,1860,5577,1822,2270,2988,974,588,1840,1889,1967,1094,2264,1628,1367,1205,810,1766,1586,2645,1012,1833,5097,4076,3777,4405,4662,4443,3990,4195,4045,3939,2338,1716,404,2082,3725,2106
"19","47.615517+-122.322083",1933,1806,1284,1495,881,1111,1527,1287,1472,1154,1372,464,611,852,1062,614,708,276,0,274,1075,1643,5818,1605,2240,3006,916,829,1782,1833,1937,860,2047,1411,1150,988,593,1549,1369,2428,795,1616,5338,4094,3795,4423,4680,4461,4008,4436,4286,4180,2121,1502,359,1865,3967,1889
"20","47.615456+-122.326729",1696,1569,1047,1258,652,881,1467,1212,1397,917,1475,337,833,733,1285,888,1026,594,364,0,1308,1407,6048,1368,1982,3022,928,1106,1862,1778,1862,638,1810,1175,913,751,357,1312,1133,2191,559,1380,5377,4123,3824,4452,4709,4490,4037,4555,4516,4352,1885,1272,646,1628,4197,1653
"21","47.624142+-122.316811",2404,2370,1902,2201,1767,1997,2349,2208,2221,1997,1722,819,402,538,543,439,1050,740,958,1111,0,1869,4776,1606,1626,2314,1672,1171,2476,2586,2671,1254,2228,1839,1659,1651,1450,1773,1841,2899,1417,1852,4296,3402,3103,3731,3919,3769,3316,3394,3244,3138,2815,2382,646,2336,2925,2652
